"RecipeInstructions","Name","Images","Keywords","RecipeIngredientQuantities","RecipeIngredientParts","AggregatedRating","ReviewCount","RecipeId","RecipeCategory"
"Mix contents of vegetable/seasoning packet, hot water, and butter in large bowl until butter is melted., Stir in stuffing crumbs just to moisten. Let stand 5 min., Place chicken down center of 12x8-inch baking dish., Mix soup and sour cream; pour over chicken., Spoon some of the stuffing over chicken. Spoon remaining stuffing along both sides of chicken., Bake at 375 for 35 min. or until chicken is cooked through.","One-Dish Chicken Bake","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/45/picpvcb3z.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/45/45/picwMo9Xe.jpg","Chicken, Poultry, Meat, < 60 Mins, Oven","1, 1 1/2, 1/4, 4, 1, 1/3","Stove Top stuffing mix, water, butter, boneless skinless chicken breasts, sour cream, milk","5","23","4545","Chicken Breast"
"Slice the chicken breast and the bell pepper into thin slices and saute in the olive oil until the chicken turns white and the peppers become limp., Add the rest of the ingredients and cook over a medium heat until the chicken is completely cooked through, about 10 minutes., Serve over cooked rice or pasta.","Solo Chicken Breast and Bell Pepper","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/47/picGwuY9p.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/47/picxaZEJn.jpg","Chicken, Poultry, Rice, Meat, Very Low Carbs, < 30 Mins, Easy","1, 1/3, 2, 1, 1, 1/2, 1, 1/2","boneless skinless chicken breast, green bell pepper, olive oil, dried basil, garlic clove, salt, lemon juice, white wine","4.5","12","5447","Chicken Breast"
"Cover beans with water in large pot or soup kettle and soak overnight., Rinse beans well and return to pot with ham bone and 3 quarts of water., Simmer, uncovered, for 2 hours., Add parsley, onions, garlic, celery and tops, salt and pepper., Simmer, uncovered, for 1 hour or until vegetables are tender., Remove ham bone, dice the meat, and add meat to soup., Serve hot.","White Bean Soup","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/67/90/picTKOduB.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/67/90/piclXWaRs.jpg","German, European, Weeknight, < 15 Mins","1, 3, 1, 2, 1, 1, 2, 1 1/2, 1/2","navy beans, water, ham bone, parsley, onion, garlic, celery & tops, salt, pepper","5","9","6790","Beans"
"In a large bowl, combine the onion recipe soup mix, bread crumbs, chili powder, cumin, thyme, and pepper., Dip the cubed chicken in bread crumb mixture, coating well., In a large skillet, heat 1/2-inch oil over medium temperature and saute chicken, turning once, until done; drain on paper towels., Serve warm and, if desired, with assorted mustards and other condiments (blue cheese dip or buttermilk dressing are good).","Cajun-Style Chicken Nuggets","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/69/95/picDKIzmv.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/69/95/picfDq5Yn.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/69/95/picCL6VJg.jpg","Chicken, Poultry, Meat, Cajun, High Protein, High In..., < 15 Mins","1, 1/2, 1 1/2, 1, 1, 1/8, 2, NA","chili powder, cumin, thyme leaves, red pepper flakes, boneless chicken breasts","5","11","6995","Chicken Breast"
"Thinly slice the chicken breast meat., Bring the chicken stock to a rolling boil and add the chicken and mushrooms., When the soup starts to boil again and all of the ingredients float to the top, remove from the heat., Add the sesame oil and sherry and taste for seasoning., Add salt and pepper if necessary., Serve in individual soup bowls and sprinkle the parsley on top.","Chicken and Mushroom Soup","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/55/3hB3cTdSjhAQVRngbMow_Chicken%20and%20Mushroom%20Soup%20To%20TRY.JPG, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/74/55/picGANJNK.jpg","Chicken, Poultry, Meat, Very Low Carbs, Low Cholesterol, < 15 Mins","1/2, 4, 2, 2, 1, 2","boneless chicken breast, sherry wine, fresh mushrooms, fresh parsley","5","9","7455","Chicken Breast"
"Cook the zucchini and onions in small amount of water until tender, about 5 to 10 min., Add other ingredients, except for cheese., Cook and stir until heated through., Remove from heat, stir in cheese, serve.","Chicken Risotto","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/86/picwD6VVI.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/76/86/pichDPXTq.jpg","Poultry, Rice, Meat, Low Cholesterol, Healthy, < 15 Mins, Stove Top","2, 2, 2, 1/2, 1/2, 2, 3, 1/4","zucchini, green onions, skinless chicken, salt, thyme, pimientos, rice, cheese","5","5","7686","Chicken"
"Combine ingredients., Allow meat to marinate in shallow glass dish for 4 hours in refrigerator., Baste with marinade during broiling or barbequing.","Herb and Oil Marinade","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/77/81/pic1sSLqW.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/77/81/pic1MtrJO.jpg","Vegan, Weeknight, < 4 Hours, Easy","1, 1/4, 1/4, 1/2, 1/2, 1, NA","orange, juice and rind of, lemon juice, ginger, sage, garlic, pepper","5","3","7781","Low Protein"
"Peel carrots; cut into sticks., Pour the orange juice into a 4 cup microwave safe dish., Heat 1 minute at high ., Add the carrots and the orange rind., Stir to coat the carrots with the orange juice., Cover and microwave 8 to 9 minutes at high., Stir again, then add the remianing ingredients., Microwave, uncovered 2 minutes at high., Stir then check for doneness., If necessary, cook another 1 minute at High.","Maple Glazed Carrots","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/78/09/picoQSpWQ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/78/09/picU6X7ws.jpg","Microwave, < 15 Mins","8, 1/2, 1, 3, 1, 3","carrots, orange, rind of, maple syrup, mace, nutmeg, butter","4.5","5","7809","Vegetable"
"Mix all ingredients together., Shape mixture into 4 patties, each about 3/4-inch thick., Broil or grill patties 4-inches from the heat, turning once, to the desired doneness, about 10 to 15 minutes.","Zesty Burgers","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/80/38/picI0VscN.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/80/38/picwXZiOD.jpg","< 15 Mins, Easy","1, 1/3, 1/2, 1, 1, 1, 1/2, 1/2, 1/2, 1/4, 2","beef, water, instant beef bouillon, lemon, rind of, lemon juice, salt, sage, ginger, pepper","3.5","2","8038","Meat"
"First saute the onion in the olive oil until limp, add the curry powder and raw rice., Stir until all the rice gains are coated with the oil, add the chicken pineapple and the peppers., Add the stock and juice and cover with a tight fitting lid., Cook over very low heat for 15 minutes, then remove from the heat leave covered and let sit for additional 10 minutes.","Solo Chicken Pineapple Pilaf","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/32/pic1KPFdO.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/32/piczHCdhT.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/87/32/picMTRn5Z.jpg","Chicken, Pineapple, Poultry, Tropical Fruits, Fruit, Meat, Low Cholesterol, Healthy, < 30 Mins, Beginner Cook, Easy","1, 1/2, 1/2, 1/2, 2, 1, 1/3, 1/3, 1/3","boneless skinless chicken breasts, green bell pepper, yellow onion, pineapple chunk, olive oil, curry powder, rice","5","3","8732","Chicken Breast"
"Shake with ice cubes, strain into a martini glass., Garnish with the twist.","Alcudia","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/42/pic8E5qwG.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/42/picdL3ihz.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/88/42/picdDciNl.jpg","< 15 Mins, Easy","1, 1, 1, NA","grapefruit juice, grapefruit peel","5","1","8842","Beverages"
"Heat oil in a skillet., Add chicken and cook until browned., Add soup, milk, lemon juice and pepper., Boil., Cover and cook on low heat for 5 minutes till done., Garnish with lemon slices if desired.","Lemon Asparagus Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/38/picWddqqW.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/38/picpSMBGl.jpg","Chicken, Poultry, Vegetable, Meat, Very Low Carbs, High Protein, High In..., < 60 Mins, Easy","1, 4, 1/4, 1, 1 -2, 1/8","boneless chicken breasts, milk, lemon juice, pepper","5","8","9538","Chicken Breast"
"Preheat oven to 350 degrees (F)., Butterfly chicken breasts and lay open., Place one slice of ham and one slice of cheese on chicken., Close chicken and secure with toothpicks if desired., Coat chicken with cracker crumbs., Repeat for remaining breasts., Bake for 20 minutes, or until chicken is thoroughly cooked.","Chicken Cordon Bleu","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/3/01494870523.jpeg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/3/picpX1W45.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/16/3/picjRQJGj.jpg","Chicken, Pork, Poultry, Cheese, Meat, High Protein, Healthy, High In..., < 30 Mins, Oven, Easy","4, 4, 4, 1/2","boneless skinless chicken breasts, low-fat ham, swiss cheese","5","11","10163","Lunch/Snacks"
"Cook pasta as directed on package; omitting salt., Rinse pasta in cold water; drain., Mix together mayonnaise, basil, lemon peel and lemon juice in a large bowl to form dressing., Add pasta, bacon (reserving 2 Tbl for topping), turkey, lettuce, cheese and tomato to dressing., Mix well., Cover and refrigerate 1-2 hours  to blend flavors., Sprinkle with reserved bacon., Serve.","Turkey, Bacon Pasta Salad With Lemon Basil Dressing","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/29/7/pickbXtRf.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/29/7/picZtKRec.jpg","Poultry, Meat, Weeknight, No Cook, Beginner Cook, < 4 Hours, Easy","3/4, 2, 1, 1, 7, 6, 1 1/2, 1 1/2, 1, 1","mayonnaise, basil leaves, dried basil, lemon, rind of, lemon juice, pasta shells, bacon, turkey, lettuce, cheese, tomatoes","4.5","6","10297","Lunch/Snacks"
"In a bowl whisk together 2 tbs chicken broth and the rest of the marinade ingredients., Place tenderloins in a bag and pour marinade over., Seal bag and marinate overnight in refrigerator., Remove pork and strain marinade into saucepan., Barbecue pork over medium heat turning once or twice for 25-35 minutes  (or roast at 350 for 30-45 mimutes)., Add remaining chicken broth to reserved marinade and boil for 2 minutes., Cut pork into thin slices& serve with marinade.","Thai Tenderloins","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/58/2/pic2V6TpW.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/58/2/picDbhB3M.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/58/2/pichJKLnD.jpg","Meat, Thai, Asian, < 60 Mins, Oven","2, 1/3, 2, 1, 1, 2, 1, 1","chicken broth, lime juice, fish sauce, ginger, garlic, fresh lemon rind","5","3","10582","Pork"
"Melt butter., Blend in flour and pepper., Gradually add milk and stir until thickened., Add cheese; mix and set aside., Fry bacon and onions until browned., Add eggs and scramble just until set., Add mushrooms and cheese sauce and put into a greased baking dish (9x13-inch)., Mix breadcrumbs with 3 tablespoons melted butter and paprika; sprinkle over egg mixture., Chill for 30 minutes at least OR put in fridge overnight., To serve, bake for 30-minutes in a 350F oven.","Breakfast Casserole","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/8/picqweLPZ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/10/85/8/picLynERy.jpg","Breakfast, Pork, Cheese, Vegetable, Meat, < 60 Mins, Oven, Easy","2, 1/8, 2, 2, 12, 1, 1, 1/4, 1, 1 1/2, 3, 1/8","butter, pepper, flour, milk, eggs, bacon, cheddar cheese, onion, mushroom stems and pieces, butter, paprika","5","17","10858","One Dish Meal"
"Brush chicken breasts with olive oil and sprinkle with enough spice mix to coat both sides., Heat about a tbs of oil in a pan and sauté the chicken for about 4 minutes each side (careful not to overcook!)., For spice mix:  Combine everything and store in a jar or bottle.","Casablanca Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/02/0/picNZQlR4.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/02/0/picteXy4K.jpg","Poultry, Meat, Moroccan, African, < 15 Mins, Easy","4, 2, NA, 1, 1, 1, 1, 1, 1, 1, 1, 1/2, 1/2, 1","boneless skinless chicken breasts, olive oil, ground cumin, ground coriander, ground ginger, chili powder, dried parsley, lemon pepper, cinnamon, salt, sugar, ground cloves","4.5","19","11020","Chicken"
"Pound meat until it is less than 1/4 inch thick., Into a large skillet, pour oil approximately 1/4-inch deep; heat until oil bubbles when you drop in a pinch of breadcrumbs., Beat egg, add:, 1 teaspoons lemon juice., Add parsley to breadcrumbs., Dredge meat in egg, then breadcrumb mixture; fry until golden brown on each side., Sprinkle with remaining lemon juice.","Grandma's Secret Wiener Schnitzel Recipe","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/20/0/picQxxqTT.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/20/0/picZ7xiB2.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/20/0/picDwFdXZ.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/20/0/picuTG7BJ.jpg","Poultry, Meat, German, Hungarian, Austrian, Polish, Czech, European, High Protein, Healthy, High In..., < 30 Mins, Stove Top, Easy","1, 1, 2, 1, 1, NA","boneless chicken breasts, lemon juice, parsley flakes, egg","5","25","11200","Chicken"
"In a resealable plastic bag, or flat container with lid, mix dressing and mustard., Add chicken breast and marinate in refrigerator at least 2 hours, turning often., Grill over hot grill 10 minutes on each side or until chicken is no longer pink., Can also be baked in 350 degree oven until chicken is done.","Grilled Chicken Dijon","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/34/7/picCspPaV.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/34/7/picrjDY05.jpg","Kid Friendly, Roast, < 15 Mins, Oven, Easy","1/2, 1/2, 6","Dijon mustard, boneless skinless chicken breasts","5","26","11347","Lunch/Snacks"
"Dry Chicken on a paper towel., Paint the chicken on both side with mustard., Roll in the bread crumbs that have been seasoned with salt& pepper., Gently shake off surplus crumbs., Place on sprayed baking sheet., Bake for 20 min in 400F degrees oven.","Easy Mustard Chicken","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/11/53/0/pict1vQU2.jpg, https://img.sndimg.com/food/image/upload/v1/img/feed/11530/gAF1S2Z6TuLnnyh3bUrE_15219361578171078453924.jpg","Chicken Breast, Chicken, Poultry, Meat, Canadian, Very Low Carbs, High Protein, Healthy, Kid Friendly, High In..., < 30 Mins, Oven, Easy","1, 1/4, 1/2, NA","boneless skinless chicken breast, French's mustard","4.5","56","11530","Lunch/Snacks"
"Combine cornflake crumbs and parsley., Combine dressing and water in another bowl., Dip chicken into dressing mixture., Cover with cornflake mixture., Place on lightly sprayed non stick pan., Bake 8 minutes or until tender in a 425 degree oven.","Crunchy Ranch Chicken Fingers","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/46/6/picIWFMSF.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/12/46/6/pic8mYskL.jpg","Chicken, Poultry, Meat, < 30 Mins, Oven, Beginner Cook, Easy","1, 1, 1/3, 1, 1","fresh parsley, water, boneless skinless chicken breast","4.5","31","12466","Lunch/Snacks"
"Mix all the ingredients except the chicken and bread together., Add chicken, mix until chicken pieces are coated., Lightly toast the bread, fill and enjoy!","Quick Chicken Sandwiches","https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/13/8/picwYxyok.jpg, https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/13/13/8/picx5ZlUZ.jpg","Chicken, Poultry, Meat, Greek, European, Kid Friendly, < 15 Mins, No Cook, Beginner Cook, Easy","2, 1/2, 1/2, 1 1/2, 1 1/2, 1 1/2, NA, NA, 4","boneless skinless chicken breast halves, plain nonfat yogurt, fat free sour cream, dried coriander, dried parsley, ground cumin, salt, pepper","4.5","3","13138","Lunch/Snacks"
